Security Requirement Family,Security Requirement Identifier,Security Requirement Type,Security Requirement Description,Recommended Implementation Guidance,User Questions,Answer Type,Answer Content,Video,Documentation Required?,Additional Text,Notes,,
Personnel Security,3.9.2,Basic,Ensure that CUI and information systems containing CUI are protected during and after personnel actions such as terminations and transfers.,"Within 24 hours of termination or transfer, [Company Name] will revoke any authenticators/credentials associated with the individual, retrieve all information system-related property from the individual, retain access to the information system formerly controlled by the individual, and notify the information security office and data owner of the change in authorization.","Within 24 hours of termination or transfer, does the organization revoke any authenticators/credentials associated with the individual, retrieve all information system-related property from the individual, retain access to the information system formerly controlled by the individual, or notify the information security office and data owner of the change in authorization?",boolean,yes/no,vEwSQIyIftI,Y,Provide a copy of your Account Management Policy,,,
Physical Protection,3.10.1,Basic,"Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.","[Company Name] implements physical security via walls, fences, cameras, guards, locks, card readers, and keys.","Does the organization implement physical security via walls, fences, cameras, guards, locks, card readers, and keys?",boolean,yes/no,XALRwcZxoJQ,N,,,,
Physical Protection,3.10.2,Basic,Protect and monitor the physical facility and support infrastructure for those information systems.,"[Company Name] implements physical security via walls, fences, cameras, guards, locks, card readers, and keys.","Does the organization implement physical security via walls, fences, cameras, guards, locks, card readers, and keys?",boolean,yes/no,NXQj302yQms,N,,,,
Physical Protection,3.10.3,Derived,Escort visitors and monitor visitor activity.,[Company Name] escorts all visitors and monitors their activity at all times.,Does the organization escort all visitors and monitor their activity at all times?,boolean,yes/no,9tzj3SPI50A,N,,,,
Physical Protection,3.10.4,Derived,Maintain audit logs of physical access.,"In accordance with retention policies and procedures, [Company Name] maintains audit logs of physical access for authorized individuals as well as visitors.  ","In accordance with retention policies and procedures, does the organization maintain audit logs of physical access for authorized individuals as well as visitors?",boolean,yes/no,Zdqw-OptuPA,Y,Provide a copy of your Audit Retention Policy,,,
Physical Protection,3.10.5,Derived,Control and manage physical access devices.,"[Company Name] performs regularly scheduled maintenance, to include manufacturer recommendations, on all physical access devices encompassing the information system.","Does the organization perform regularly scheduled maintenance, to include manufacturer recommendations, on all physical access devices encompassing the information system?",boolean,yes/no,A7lcv5VRr-4,N,,,,
Physical Protection,3.10.6,Derived,"Enforce safeguarding measures for CUI at alternate work sites (e.g., telework sites).","All alternate work sites where CUI data is stored, processed, or transferred must meet the same physical security requirements as the primary work site.","Does the organization ensure all alternate work sites where CUI data is stored, processed, or transferred meet the same physical security requirements as the primary work site?",boolean,yes/no,jKscD4_FX-o,N,,,,
Risk Assessment,3.11.1,Basic,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational information systems and the associated processing, storage, or transmission of CUI.","[Company Name] undergoes initial and periodic risk assessments. The potential Confidentiality, Integrity, Availability (CIA) impact is determined via FIPS 199.  The resulting Plan of Action and Milestones (POA&M) will be a living document and incorporated into a larger risk assessment profile for the information system.","Does the organization undergo initial and periodic risk assessments? Since the potential Confidentiality, Integrity, Availability (CIA) impact is determined via FIPS 199 will the organizations resulting Plan of Action and Milestones (POA&M)  be a living document and incorporated into a larger risk assessment profile for the information system? ",boolean,yes/no,D9iNYK552nc,Y,Provide a copy of your Risk Assesment Policy & Security Assessment Report,,,
Risk Assessment,3.11.2,Derived,Scan for vulnerabilities in the information system and applications periodically and when new vulnerabilities affecting the system are identified.,[Company Name] regularly conducts vulnerability scans on the information system. The resulting Plan of Action and Milestones (POA&M) will be a living document and incorporated into a larger risk assessment profile for the information system.,Does the organization regularly conduct vulnerability scans on the information system since the resulting Plan of Action and Milestones (POA&M) is a living document and incorporated into a larger risk assessment profile for the information system?,boolean,yes/no,P2KDvTQ-9ec,Y,Provide a copy of your Vulnerability Scanning Policy and Vulnerability Scans,,,
Risk Assessment,3.11.3,Derived,Remediate vulnerabilities in accordance with assessments of risk.,"Upon regcognition of any vulnerability, [Company Name] creates a Plan of Action and Milestones (POA&M) to address  remediation, mitigation, acceptance, or transference of said vulnerability risk. High findings will be prioritized.","Upon recognition of any vulnerability, does the organization create a Plan of Action and Milestones (POA&M) to address  remediation, mitigation, acceptance, or transference of said vulnerability risk and are high findings prioritized?",boolean,yes/no,KeVRX6qKW0c,Y,Provide a copy of your Plans or Actions and MIlestones (POA&M) ,,,
Security Assessment,3.12.1,Basic,Periodically assess the security controls in organizational information systems to determine if the controls are effective in their application.,"[Company Name] conducts periodic security assessments on a representative sample of the information system. This includes, but is not limited to, policies and procedures review, personnel interviews, vulnerability scans, audit log review, and penetration testing. ","Does the organization conduct periodic security assessments on a representative sample of the information system which  includes, but is not limited to, policies and procedures review, personnel interviews, vulnerability scans, audit log review, and penetration testing?",boolean,yes/no,8nw692CqWSU,Y,Provide a copy of your Securtiy Asessment Repot (SAR),,,
Security Assessment,3.12.2,Basic,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational information systems.,"Upon regcognition of any vulnerability, [Company Name] creates a Plan of Action and Milestones (POA&M) to address  remediation, mitigation, acceptance, or transference of said vulnerability risk. High findings will be prioritized.","Upon recognition of any vulnerability, does the organization create a Plan of Action and Milestones (POA&M) to address  remediation, mitigation, acceptance, or transference of said vulnerability risk and are high findings prioritized?",boolean,yes/no,9YTDumr7JiQ,Y,Plans or Actions and MIlestones (POA&M),"If this is something we create, should we require them to upload it?",9YTDumr7JiQ,https://youtu.be/9YTDumr7JiQ
Security Assessment,3.12.3,Basic,Monitor information system security controls on an ongoing basis to ensure the continued effectiveness of the controls.,"[Company Name] deploys continuous monitoring tools that are, at a minimum, able to monitor privileged access, permission changes, kernel modifications, and/or binary changes across the entire information system.","Does the organization deploy continuous monitoring tools that are, at a minimum, able to monitor privileged access, permission changes, kernel modifications, and/or binary changes across the entire information system?",boolean,yes/no,cfdO_281Gj0,Y,Provide a copy of your Continuous Monitoring Plan,,,
System and Communications Protection,3.13.1,Basic,"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.","[Company Name] enumerates policies and procedures for all managed interfaces. This includes, but is not limited to, access gateways, routers, switches, and firewalls. ","Does the organization enumerate policies and procedures for all managed interfaces to include, but not be limited to, access gateways, routers, switches, and firewalls?",boolean,yes/no,VopN3X_RDuw,Y,Provide a copy of your Interconnection Agreements,,,
System and Communications Protection,3.13.2,Basic,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational information systems.","[Company Name] employs architectural designs, software development techniques, and systems engineering principles that promote effective information security within the information system.","Does the organization employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within the information system?",boolean,yes/no,QV3yKmsbjMw,Y,Provide a copy of your Application Development Security Policy,,,
System and Communications Protection,3.13.3,Derived,Separate user functionality from information system management functionality.,"If an authorized user is required to conduct system administration as well as access data, [Company Name] creates separate accounts with the approriate access levels to separate each function. ","If an authorized user is required to conduct system administration as well as access data, does the organization create separate accounts with the appropriate access levels to separate each function?",boolean,yes/no,yotLQEJSe4o,N,,,,
System and Communications Protection,3.13.4,Derived,Prevent unauthorized and unintended information transfer via shared system resources.,[Company Name] only grants enough privileges to a system user to allow them to sufficiently fulfill their job duties. Additional safeguards are in place to prevent object reuse and protect residual information.,"Does the organization ensure it only grants enough privileges to a system user to allow them to sufficiently fulfill their job duties? Additionally, are safeguards in place to prevent object reuse and protect residual information?",boolean,yes/no,FmdvUifO7_s,N,,,,
System and Communications Protection,3.13.5,Derived,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,[Company Name] has developed policies and procedures for utilizing a demilitarized zone (DMZ).,Has the organization developed policies and procedures for utilizing a demilitarized zone (DMZ)?,boolean,yes/no,xANHkI-BYmg,Y,Provide a copy of your Firewall Policy,,,
System and Communications Protection,3.13.6,Derived,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).","[Company Name] implements a deny-all, permit-by-exception (whitelisting) policy to allow for the execution of authorized software. Additionally, strict firewall rules are in place to restrict port access and user control. ","Does the organization implement a deny-all, permit-by-exception (whitelisting) policy to allow for the execution of authorized software? Additionally, are strict firewall rules are in place to restrict port access and user control?",boolean,yes/no,KgSrXfx3oHU,N,,,,
System and Communications Protection,3.13.7,Derived,Prevent remote devices from simultaneously establishing non-remote connections with the information system and communicating via some other connection to resources in external networks.,"[Company Name] monitors remote access sessions by running system and network monitoring applications as well as auditing the execution of all privileged functions. [Company Name] controls remote access sessions by utilizing end-to-end encryption, implementing strict firewall rules, and running only essential applications. Split tunneling is strictly prohibited.","Does the organization monitor remote access sessions by running system and network monitoring applications as well as auditing the execution of all privileged functions and controls remote access sessions by utilizing end-to-end encryption, implementing strict firewall rules, and running only essential applications? Is split tunneling  strictly prohibited?",boolean,yes/no,ANgOKFlsOFA,N,,,,
System and Communications Protection,3.13.8,Derived,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,"[Company Name] requires the use of an approved encryption method for any application remotely accessing the system. Utilizing an up-to-date access control list, [Company Name] implements and enforces Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate. ","Does the organization require the use of an approved encryption method for any application remotely accessing the system? Utilizing an up-to-date access control list, does the organization implement and enforce Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate?",boolean,yes/no,oIUTgURkq9c,N,,,,
System and Communications Protection,3.13.9,Derived,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,"[Company Name] configures the  system to end a user session after a predetermined time based on duration and/or inactivity.
","Does the organization configure the  system to end a user session after a predetermined time based on duration and/or inactivity?
",boolean,yes/no,f-z2m38QBKg,N,,,,
System and Communications Protection,3.13.10,Derived,Establish and manage cryptographic keys for cryptography employed in the information system;,[Company Name] uses an automated mechanism to provide key management within the information system.,Does the organization use an automated mechanism to provide key management within the information system?,boolean,yes/no,0k2wGk9w1h4,N,,,,
System and Communications Protection,3.13.11,Derived,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,[Company Name] employs FIPS 140-2 Level 2 compliant cryptography.,Does the organization employ FIPS 140-2 Level 2 compliant cryptography?,boolean,yes/no,uzOAG_GqzsI,N,,,,
System and Communications Protection,3.13.12,Derived,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,"[Company Name] requires the use of an approved encryption method for any device remotely accessing the system. Utilizing an up-to-date access control list, [Company Name] implements and enforces Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate.","Does the organization require the use of an approved encryption method for any device remotely accessing the system? Utilizing an up-to-date access control list, does the organization implement and enforce Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate?",boolean,yes/no,IdxHnq_qVak,N,,,,
System and Communications Protection,3.13.13,Derived,Control and monitor the use of mobile code.,[Company Name] limits and restricts the use mobile code within the information system. ,Does the organization limit and restrict the use mobile code within the information system?,boolean,yes/no,JRhH0Mlpe_E,N,,,,
System and Communications Protection,3.13.14,Derived,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,[Company Name] places guidelines and restrictions on the use of VoIP technologies within the information system.,Does the organization place guidelines and restrictions on the use of VoIP technologies within the information system?,boolean,yes/no,DrNhWkIZz-s,N,,,,
System and Communications Protection,3.13.15,Derived,Protect the authenticity of communications sessions.,"Utilizing an up-to-date access control list, [Company Name] implements and enforces Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate. Furthermore, [Company Name] configures the  system to end a user session after a predetermined time based on duration and/or inactivity.","Utilizing an up-to-date access control list, does the organization implement and enforce Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate? Furthermore, does the organization configure the  system to end a user session after a predetermined time based on duration and/or inactivity?",boolean,yes/no,ZigWYnvfldc,N,,,,
System and Communications Protection,3.13.16,Derived,Protect the confidentiality of CUI at rest.,[Company Name] requires the use of an approved encryption method for storing and protecting data at rest.,Does the organization require the use of an approved encryption method for storing and protecting data at rest?,boolean,yes/no,eEiALZU2Bcs,N,,,,
System and Information Integrity,3.14.1,Basic,"Identify, report, and correct information and information system flaws in a timely manner.","[Company Name] conducts periodic security assessments on a representative sample of the information system. This includes, but is not limited to, policies and procedures review, personnel interviews, vulnerability scans, audit log review, and penetration testing. Upon regcognition of any vulnerability, [Company Name] creates a Plan of Action and Milestones (POA&M) to address  remediation, mitigation, acceptance, or transference of said vulnerability risk. High findings will be prioritized.","Does the organization conduct periodic security assessments on a representative sample of the information system to include, but not be limited to, policies and procedures review, personnel interviews, vulnerability scans, audit log review, and penetration testing? Upon recognition of any vulnerability, does the organization create a Plan of Action and Milestones (POA&M) to address remediation, mitigation, acceptance, or transference of said vulnerability risk and are high findings prioritized?",boolean,yes/no,84H0H79ylxQ,Y,Provide a copy of your Risk Assessment Policy,,,
System and Information Integrity,3.14.2,Basic,Provide protection from malicious code at appropriate locations within organizational information systems.,"[Company Name] provides security architecture and design solutions to control the flow of system data. These solutions include firewalls, proxies, encryption, and other security-related technologies. Additionally, [Company Name] employs malicious code protection mechanisms at system entry and exit points to minimize the presence of malicious code.","Does the organization provide security architecture and design solutions to control the flow of system data and do these solutions include firewalls, proxies, encryption, and other security-related technologies? Additionally, does the organization employ malicious code protection mechanisms at system entry and exit points to minimize the presence of malicious code?",boolean,yes/no,mYH3Q34Iok8,N,,,,
System and Information Integrity,3.14.3,Basic,Monitor information system security alerts and advisories and take appropriate actions in response.,"[Company Name] receives security alerts, advisories, and directives from reputable external agencies, and disseminate this information to authorized individuals with a need-to-know.","Does the organization receive security alerts, advisories, and directives from reputable external agencies, and disseminate this information to authorized individuals with a need-to-know?",boolean,yes/no,6_9IQw_NgKs,N,,,,
System and Information Integrity,3.14.4,Derived,Update malicious code protection mechanisms when new releases are available.,[Company Name] employs malicious code protection mechanisms at system entry and exit points to minimize the presence of malicious code. [Company Name] updates malicious code protection mechanisms when new releases become available. ,"Does the organization employ malicious code protection mechanisms at system entry and exit points to minimize the presence of malicious code? Additionally, does the organization update malicious code protection mechanisms when new releases become available?",boolean,yes/no,IrTy424c1g4,N,,,,
System and Information Integrity,3.14.5,Derived,"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.",[Company Name] regularly conducts vulnerability scans on the information system. The resulting Plan of Action and Milestones (POA&M) will be a living document and incorporated into a larger risk assessment profile for the information system.,Does the organization regularly conduct vulnerability scans on the information system and is the resulting Plan of Action and Milestones (POA&M) a living document and incorporated into a larger risk assessment profile for the information system?,boolean,yes/no,heWarkEZjzE,N,,,,
System and Information Integrity,3.14.6,Derived,"Monitor the information system including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.","By running system and network monitoring applications as well as auditing the execution of all privileged functions, [Company Name] can detect attacks and indicators of potential attacks as well as unauthorized local, network, and remote connections. The information acquired via system and network monitoring applications is protected from unauthorized access, modification, and/or deletion. ","By running system and network monitoring applications as well as auditing the execution of all privileged functions, does the organization have the ability to detect attacks and indicators of potential attacks as well as unauthorized local, network, and remote connections? Is the information acquired via system and network monitoring applications  protected from unauthorized access, modification, and/or deletion?",boolean,yes/no,wwY5Bf4PKVo,N,,,,
System and Information Integrity,3.14.7,Derived,Identify unauthorized use of the information system.,"By running system and network monitoring applications as well as auditing the execution of all privileged functions, [Company Name] can detect attacks and indicators of potential attacks as well as unauthorized local, network, and remote connections. The information acquired via system and network monitoring applications is protected from unauthorized access, modification, and/or deletion.","By running system and network monitoring applications as well as auditing the execution of all privileged functions, does the organization have the ability to detect attacks and indicators of potential attacks as well as unauthorized local, network, and remote connections? Is the information acquired via system and network monitoring applications protected from unauthorized access, modification, and/or deletion?",boolean,yes/no,WXBwG_V3X5Q,N,,,,
